Variable:,location_id,location_name,year_id,measure_name,metric_id,metric_name,scenario,scenario_name,val,upper,lower
Label:,Location ID,Location Name,Year ID,Measure Name,Metric ID,Metric Name,Scenario ID,Scenario Name,Value,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,1,Global,1950,Total Fertility Rate,3,Rate,0,Reference,,,
,4,"Southeast Asia, East Asia, and Oceania",1951,,,,24,SDG Education,,,
,5,East Asia,1952,,,,25,SDG Met Need,,,
,6,China,1953,,,,26,Pronatal Policy,,,
,7,Democratic People's Republic of Korea,1954,,,,27,Combined,,,
,8,Taiwan (Province of China),1955,,,,,,,,
,9,Southeast Asia,1956,,,,,,,,
,10,Cambodia,1957,,,,,,,,
,11,Indonesia,1958,,,,,,,,
,12,Lao People's Democratic Republic,1959,,,,,,,,
,13,Malaysia,1960,,,,,,,,
,14,Maldives,1961,,,,,,,,
,15,Myanmar,1962,,,,,,,,
,16,Philippines,1963,,,,,,,,
,17,Sri Lanka,1964,,,,,,,,
,18,Thailand,1965,,,,,,,,
,19,Timor-Leste,1966,,,,,,,,
,20,Viet Nam,1967,,,,,,,,
,21,Oceania,1968,,,,,,,,
,22,Fiji,1969,,,,,,,,
,23,Kiribati,1970,,,,,,,,
,24,Marshall Islands,1971,,,,,,,,
,25,Micronesia (Federated States of),1972,,,,,,,,
,26,Papua New Guinea,1973,,,,,,,,
,27,Samoa,1974,,,,,,,,
,28,Solomon Islands,1975,,,,,,,,
,29,Tonga,1976,,,,,,,,
,30,Vanuatu,1977,,,,,,,,
,31,"Central Europe, Eastern Europe, and Central Asia",1978,,,,,,,,
,32,Central Asia,1979,,,,,,,,
,33,Armenia,1980,,,,,,,,
,34,Azerbaijan,1981,,,,,,,,
,35,Georgia,1982,,,,,,,,
,36,Kazakhstan,1983,,,,,,,,
,37,Kyrgyzstan,1984,,,,,,,,
,38,Mongolia,1985,,,,,,,,
,39,Tajikistan,1986,,,,,,,,
,40,Turkmenistan,1987,,,,,,,,
,41,Uzbekistan,1988,,,,,,,,
,42,Central Europe,1989,,,,,,,,
,43,Albania,1990,,,,,,,,
,44,Bosnia and Herzegovina,1991,,,,,,,,
,45,Bulgaria,1992,,,,,,,,
,46,Croatia,1993,,,,,,,,
,47,Czechia,1994,,,,,,,,
,48,Hungary,1995,,,,,,,,
,49,North Macedonia,1996,,,,,,,,
,50,Montenegro,1997,,,,,,,,
,51,Poland,1998,,,,,,,,
,52,Romania,1999,,,,,,,,
,53,Serbia,2000,,,,,,,,
,54,Slovakia,2001,,,,,,,,
,55,Slovenia,2002,,,,,,,,
,56,Eastern Europe,2003,,,,,,,,
,57,Belarus,2004,,,,,,,,
,58,Estonia,2005,,,,,,,,
,59,Latvia,2006,,,,,,,,
,60,Lithuania,2007,,,,,,,,
,61,Republic of Moldova,2008,,,,,,,,
,62,Russian Federation,2009,,,,,,,,
,63,Ukraine,2010,,,,,,,,
,64,High-income,2011,,,,,,,,
,65,High-income Asia Pacific,2012,,,,,,,,
,66,Brunei Darussalam,2013,,,,,,,,
,67,Japan,2014,,,,,,,,
,68,Republic of Korea,2015,,,,,,,,
,69,Singapore,2016,,,,,,,,
,70,Australasia,2017,,,,,,,,
,71,Australia,2018,,,,,,,,
,72,New Zealand,2019,,,,,,,,
,73,Western Europe,2020,,,,,,,,
,74,Andorra,2021,,,,,,,,
,75,Austria,2022,,,,,,,,
,76,Belgium,2023,,,,,,,,
,77,Cyprus,2024,,,,,,,,
,78,Denmark,2025,,,,,,,,
,79,Finland,2026,,,,,,,,
,80,France,2027,,,,,,,,
,81,Germany,2028,,,,,,,,
,82,Greece,2029,,,,,,,,
,83,Iceland,2030,,,,,,,,
,84,Ireland,2031,,,,,,,,
,85,Israel,2032,,,,,,,,
,86,Italy,2033,,,,,,,,
,87,Luxembourg,2034,,,,,,,,
,88,Malta,2035,,,,,,,,
,89,Netherlands,2036,,,,,,,,
,90,Norway,2037,,,,,,,,
,91,Portugal,2038,,,,,,,,
,92,Spain,2039,,,,,,,,
,93,Sweden,2040,,,,,,,,
,94,Switzerland,2041,,,,,,,,
,95,United Kingdom,2042,,,,,,,,
,96,Southern Latin America,2043,,,,,,,,
,97,Argentina,2044,,,,,,,,
,98,Chile,2045,,,,,,,,
,99,Uruguay,2046,,,,,,,,
,100,High-income North America,2047,,,,,,,,
,101,Canada,2048,,,,,,,,
,102,United States of America,2049,,,,,,,,
,103,Latin America and Caribbean,2050,,,,,,,,
,104,Caribbean,2051,,,,,,,,
,105,Antigua and Barbuda,2052,,,,,,,,
,106,Bahamas,2053,,,,,,,,
,107,Barbados,2054,,,,,,,,
,108,Belize,2055,,,,,,,,
,109,Cuba,2056,,,,,,,,
,110,Dominica,2057,,,,,,,,
,111,Dominican Republic,2058,,,,,,,,
,112,Grenada,2059,,,,,,,,
,113,Guyana,2060,,,,,,,,
,114,Haiti,2061,,,,,,,,
,115,Jamaica,2062,,,,,,,,
,116,Saint Lucia,2063,,,,,,,,
,117,Saint Vincent and the Grenadines,2064,,,,,,,,
,118,Suriname,2065,,,,,,,,
,119,Trinidad and Tobago,2066,,,,,,,,
,120,Andean Latin America,2067,,,,,,,,
,121,Bolivia (Plurinational State of),2068,,,,,,,,
,122,Ecuador,2069,,,,,,,,
,123,Peru,2070,,,,,,,,
,124,Central Latin America,2071,,,,,,,,
,125,Colombia,2072,,,,,,,,
,126,Costa Rica,2073,,,,,,,,
,127,El Salvador,2074,,,,,,,,
,128,Guatemala,2075,,,,,,,,
,129,Honduras,2076,,,,,,,,
,130,Mexico,2077,,,,,,,,
,131,Nicaragua,2078,,,,,,,,
,132,Panama,2079,,,,,,,,
,133,Venezuela (Bolivarian Republic of),2080,,,,,,,,
,134,Tropical Latin America,2081,,,,,,,,
,135,Brazil,2082,,,,,,,,
,136,Paraguay,2083,,,,,,,,
,137,North Africa and Middle East,2084,,,,,,,,
,138,North Africa and Middle East,2085,,,,,,,,
,139,Algeria,2086,,,,,,,,
,140,Bahrain,2087,,,,,,,,
,141,Egypt,2088,,,,,,,,
,142,Iran (Islamic Republic of),2089,,,,,,,,
,143,Iraq,2090,,,,,,,,
,144,Jordan,2091,,,,,,,,
,145,Kuwait,2092,,,,,,,,
,146,Lebanon,2093,,,,,,,,
,147,Libya,2094,,,,,,,,
,148,Morocco,2095,,,,,,,,
,149,Palestine,2096,,,,,,,,
,150,Oman,2097,,,,,,,,
,151,Qatar,2098,,,,,,,,
,152,Saudi Arabia,2099,,,,,,,,
,153,Syrian Arab Republic,2100,,,,,,,,
,154,Tunisia,,,,,,,,,
,155,Türkiye,,,,,,,,,
,156,United Arab Emirates,,,,,,,,,
,157,Yemen,,,,,,,,,
,158,South Asia,,,,,,,,,
,159,South Asia,,,,,,,,,
,160,Afghanistan,,,,,,,,,
,161,Bangladesh,,,,,,,,,
,162,Bhutan,,,,,,,,,
,163,India,,,,,,,,,
,164,Nepal,,,,,,,,,
,165,Pakistan,,,,,,,,,
,166,Sub-Saharan Africa,,,,,,,,,
,167,Central Sub-Saharan Africa,,,,,,,,,
,168,Angola,,,,,,,,,
,169,Central African Republic,,,,,,,,,
,170,Congo,,,,,,,,,
,171,Democratic Republic of the Congo,,,,,,,,,
,172,Equatorial Guinea,,,,,,,,,
,173,Gabon,,,,,,,,,
,174,Eastern Sub-Saharan Africa,,,,,,,,,
,175,Burundi,,,,,,,,,
,176,Comoros,,,,,,,,,
,177,Djibouti,,,,,,,,,
,178,Eritrea,,,,,,,,,
,179,Ethiopia,,,,,,,,,
,180,Kenya,,,,,,,,,
,181,Madagascar,,,,,,,,,
,182,Malawi,,,,,,,,,
,183,Mauritius,,,,,,,,,
,184,Mozambique,,,,,,,,,
,185,Rwanda,,,,,,,,,
,186,Seychelles,,,,,,,,,
,187,Somalia,,,,,,,,,
,189,United Republic of Tanzania,,,,,,,,,
,190,Uganda,,,,,,,,,
,191,Zambia,,,,,,,,,
,192,Southern Sub-Saharan Africa,,,,,,,,,
,193,Botswana,,,,,,,,,
,194,Lesotho,,,,,,,,,
,195,Namibia,,,,,,,,,
,196,South Africa,,,,,,,,,
,197,Eswatini,,,,,,,,,
,198,Zimbabwe,,,,,,,,,
,199,Western Sub-Saharan Africa,,,,,,,,,
,200,Benin,,,,,,,,,
,201,Burkina Faso,,,,,,,,,
,202,Cameroon,,,,,,,,,
,203,Cabo Verde,,,,,,,,,
,204,Chad,,,,,,,,,
,205,Côte d'Ivoire,,,,,,,,,
,206,Gambia,,,,,,,,,
,207,Ghana,,,,,,,,,
,208,Guinea,,,,,,,,,
,209,Guinea-Bissau,,,,,,,,,
,210,Liberia,,,,,,,,,
,211,Mali,,,,,,,,,
,212,Mauritania,,,,,,,,,
,213,Niger,,,,,,,,,
,214,Nigeria,,,,,,,,,
,215,Sao Tome and Principe,,,,,,,,,
,216,Senegal,,,,,,,,,
,217,Sierra Leone,,,,,,,,,
,218,Togo,,,,,,,,,
,298,American Samoa,,,,,,,,,
,305,Bermuda,,,,,,,,,
,320,Cook Islands,,,,,,,,,
,349,Greenland,,,,,,,,,
,351,Guam,,,,,,,,,
,367,Monaco,,,,,,,,,
,369,Nauru,,,,,,,,,
,374,Niue,,,,,,,,,
,376,Northern Mariana Islands,,,,,,,,,
,380,Palau,,,,,,,,,
,385,Puerto Rico,,,,,,,,,
,393,Saint Kitts and Nevis,,,,,,,,,
,396,San Marino,,,,,,,,,
,413,Tokelau,,,,,,,,,
,416,Tuvalu,,,,,,,,,
,422,United States Virgin Islands,,,,,,,,,
,435,South Sudan,,,,,,,,,
,522,Sudan,,,,,,,,,